name,time on table (in m),occlusion,occlusion through experiment,sizeX,sizeY,occurences,distance
glass_1,100.866666667,2.81510416667,2.81510416667,94,92,2,44.1814440687
mouse,46.1833333333,0.724609375,0.33177339361,42,53,2,149.459024485
notes,45.0666666667,2.40885416667,1.07626266799,148,50,3,69.3522309069
pipette,100.498683333,0.515625,0.5137438889,16,99,3,155.80268996
glass_2,100.666666667,1.9296875,1.92586128553,76,78,2,73.8241153012
aluminum,35.5666666667,0.84375,0.297515284204,54,48,1,0
small_rack_1,4.56666666667,1.3359375,0.060483621117,76,54,1,0
small_glass,64.9812166667,0.5859375,0.377477841778,40,45,4,96.9373473093
blue_box,61.3666666667,1.8251953125,1.11043772978,63,89,5,710.115794765
vial,26.7166666667,0.1953125,0.0517326400364,24,25,3,141.687613585
blue_box_2,57.9166666667,1.49772135417,0.859977148997,43,107,3,87.0071424927
caps,39.2166666667,0.24609375,0.0956805343275,21,36,1,0
pen_1,55.5646166667,0.35546875,0.195817761045,12,91,1,0
white_rack,17.7166666667,1.1015625,0.193483300975,72,47,5,348.059745718
white_rack_2,3.83333333333,0.948567708333,0.0360493345864,94,31,2,38.3275357935
pen_2,6.56666666667,0.29296875,0.019072982072,75,12,2,72.9451848993
physical item,47.9559072917,1.10139973958,9.96047358161,59,59,2,124.23124183
hybrid items,,,,,
