Object, Time on table (min) , Time (s) , Occlusion (relative to video size) , Occlusion per time (relative to Video) , Display Occluded (%) , Overall Display Occlusion per s (%) ,sizeX,sizeY,size², X in cm , Y in cm ,occurences, Distance (px) , Distance (cm) ,Type,Session,,
 Large1 , 125.16 ," 7,509.68 ", 5.42 , 4.64 , 7.11 , 6.09 , 160.00 , 104.00 ," 16,640.00 ", 26.23 , 17.05 , 6.00 , 895.50 , 146.80 , H , Session1 ,,
 Blue1 , 6.38 , 382.98 , 1.59 , 0.07 , 2.09 , 0.09 , 96.00 , 51.00 ," 4,896.00 ", 15.74 , 8.36 , 2.00 , 30.02 , 4.92 , P , Session1 ,,
 Small1 , 48.95 ," 2,937.18 ", 2.24 , 0.75 , 2.94 , 0.99 , 106.00 , 65.00 ," 6,890.00 ", 17.38 , 10.66 , 9.00 , 940.48 , 154.18 , H , Session1 ,,
 Blue2 , 0.70 , 41.96 , 2.76 , 0.01 , 3.62 , 0.02 , 80.00 , 106.00 ," 8,480.00 ", 13.11 , 17.38 , 1.00 , -   , -   , P , Session1 ,,
 White1 , 121.69 ," 7,301.36 ", 1.56 , 1.30 , 2.04 , 1.70 , 81.00 , 59.00 ," 4,779.00 ", 13.28 , 9.67 , 6.00 , 490.62 , 80.43 , P , Session1 ,,
 White2 , 89.67 ," 5,380.39 ", 1.45 , 0.89 , 1.90 , 1.17 , 81.00 , 55.00 ," 4,455.00 ", 13.28 , 9.02 , 9.00 , 818.80 , 134.23 , P , Session1 ,,
 Glass1 , 24.62 ," 1,476.96 ", 2.58 , 0.43 , 3.38 , 0.57 , 88.00 , 90.00 ," 7,920.00 ", 14.43 , 14.75 , 1.00 , -   , -   , P , Session1 ,,
 Blue3 , 64.25 ," 3,855.01 ", 1.95 , 0.86 , 2.56 , 1.12 , 92.00 , 65.00 ," 5,980.00 ", 15.08 , 10.66 , 3.00 , 45.13 , 7.40 , P , Session1 ,,
 Ipad , 4.06 , 243.85 , 5.42 , 0.15 , 7.11 , 0.20 , 90.00 , 185.00 ," 16,650.00 ", 14.75 , 30.33 , 1.00 , -   , -   , P , Session1 ,,
 Keyboard , 97.32 ," 5,839.19 ", 4.56 , 3.04 , 5.98 , 3.99 , 149.00 , 94.00 ," 14,006.00 ", 24.43 , 15.41 , 7.00 , 465.93 , 76.38 , P , Session1 ,,
 case_1 , 507.87 ," 30,472.00 ", 2.18 , 2.18 , 2.95 , 2.95 , 93.00 , 72.00 ," 6,696.00 ", 15.25 , 11.80 , 1.00 , -   , -   , P , Session2 ,,
 glass_1 , 507.64 ," 30,458.36 ", 2.03 , 2.03 , 2.75 , 2.75 , 80.00 , 78.00 ," 6,240.00 ", 13.11 , 12.79 , 4.00 , 390.77 , 64.06 , P , Session2 ,,
 mouse , 507.77 ," 30,465.91 ", 0.50 , 0.50 , 0.68 , 0.68 , 31.00 , 50.00 ," 1,550.00 ", 5.08 , 8.20 , 7.00 , 97.72 , 16.02 , P , Session2 ,,
 rack_clear , 444.07 ," 26,644.00 ", 3.08 , 2.70 , 4.18 , 3.65 , 148.00 , 64.00 ," 9,472.00 ", 24.26 , 10.49 , 12.00 , 889.42 , 145.81 , P , Session2 ,,
 glas_tiny , 5.29 , 317.59 , 0.29 , 0.00 , 0.40 , 0.00 , 28.00 , 32.00 , 896.00 , 4.59 , 5.25 , 1.00 , -   , -   , P , Session2 ,,
 rack_tri , 420.90 ," 25,253.90 ", 2.16 , 1.79 , 2.92 , 2.42 , 78.00 , 85.00 ," 6,630.00 ", 12.79 , 13.93 , 9.00 , 102.26 , 16.76 , P , Session2 ,,
 glass_3 , 53.45 ," 3,207.18 ", 3.19 , 0.34 , 4.32 , 0.45 , 98.00 , 100.00 ," 9,800.00 ", 16.07 , 16.39 , 2.00 , 282.73 , 46.35 , P , Session2 ,,
 aluminum , 5.65 , 339.18 , 4.53 , 0.05 , 6.14 , 0.07 , 120.00 , 116.00 ," 13,920.00 ", 19.67 , 19.02 , 1.00 , -   , -   , P , Session2 ,,
 pen_h , 66.16 ," 3,969.84 ", 0.23 , 0.03 , 0.31 , 0.04 , 88.00 , 8.00 , 704.00 , 14.43 , 1.31 , 1.00 , -   , -   , P , Session2 ,,
 blue_1 , 48.32 ," 2,899.10 ", 1.98 , 0.19 , 2.68 , 0.25 , 92.00 , 66.00 ," 6,072.00 ", 15.08 , 10.82 , 2.00 , 210.45 , 34.50 , P , Session2 ,,
 blue_border , 2.00 , 120.00 , 0.68 , 0.00 , 0.92 , 0.00 , 40.00 , 52.00 ," 2,080.00 ", 6.56 , 8.52 , 1.00 , -   , -   , P , Session2 ,,
 blue_top , 347.95 ," 20,877.00 ", 1.35 , 0.93 , 1.83 , 1.26 , 80.00 , 52.00 ," 4,160.00 ", 13.11 , 8.52 , 3.00 , 507.95 , 83.27 , P , Session2 ,,
 glass_2 , 475.38 ," 28,522.92 ", 2.27 , 2.12 , 3.07 , 2.88 , 83.00 , 84.00 ," 6,972.00 ", 13.61 , 13.77 , 2.00 , 48.01 , 7.87 , P , Session2 ,,
 pip_v , 231.72 ," 13,903.00 ", 0.84 , 0.38 , 1.14 , 0.52 , 23.00 , 112.00 ," 2,576.00 ", 3.77 , 18.36 , 12.00 , 904.10 , 148.21 , P , Session2 ,,
 blue_3 , 40.48 ," 2,429.00 ", 1.15 , 0.09 , 1.56 , 0.12 , 68.00 , 52.00 ," 3,536.00 ", 11.15 , 8.52 , 2.00 , 25.61 , 4.20 , P , Session2 ,,
 jar_1 , 5.25 , 315.00 , 0.23 , 0.00 , 0.31 , 0.00 , 28.00 , 25.00 , 700.00 , 4.59 , 4.10 , 4.00 , 638.98 , 104.75 , P , Session2 ,,
 jar_1_cap , 1.45 , 87.00 , 0.15 , 0.00 , 0.20 , 0.00 , 21.00 , 22.00 , 462.00 , 3.44 , 3.61 , 1.00 , -   , -   , P , Session2 ,,
 pen_v , 60.66 ," 3,639.57 ", 0.16 , 0.02 , 0.21 , 0.03 , 8.00 , 60.00 , 480.00 , 1.31 , 9.84 , 1.00 , -   , -   , P , Session2 ,,
 blue_2 , 78.39 ," 4,703.34 ", 2.56 , 0.40 , 3.47 , 0.54 , 101.00 , 78.00 ," 7,878.00 ", 16.56 , 12.79 , 3.00 , 134.94 , 22.12 , P , Session2 ,,
